CUOC,Descripcion_CUOC
22210,"Proporcionan, gestionan y planifican el cuidado integral y humanizado de las personas, familias y comunidades a lo largo del curso de vida contribuyendo al bienestar y la salud física y mental, con acciones de promoción, educación, protección específica, detección, diagnóstico, intervención y tratamiento de enfermería, recuperación y cuidados paliativos; se fundamentan en el conocimiento disciplinar y autonomía de práctica teniendo en cuenta el enfoque de juicio clínico y social, científico y tecnológico con carácter interprofesional, interdisciplinar, intersectorial, diferencial e inclusivo; e incluye la supervisión de otros trabajadores de la salud; en zonas apartadas pueden realizar acciones de atención primaria. Se pueden desempeñar todos los ámbitos de atención en salud, clínicas, hospitales, centros médicos, de rehabilitación, instituciones educativas y servicios particulares, comunidad y empresas, entre otros."
22300,"Examinan pacientes, previenen y tratan enfermedades, dolencias, lesiones y otros problemas físicos, energéticos, mentales y espirituales y mantienen la salud general de los seres humanos mediante la aplicación de conocimientos, habilidades, alternativas de tratamiento y prácticas adquiridas a través de un amplio estudio de las teorías, creencias y experiencias procedentes de culturas específicas. Se pueden desempeñar en clínicas, centros, clubes y tiendas de salud, naturistas y de medicina alternativa, entre otros."
22401,"Brindan servicios médicos de asesoramiento, diagnóstico, curativos y preventivos más limitados en alcance y complejidad a los que realizan los médicos. Administran cuidados prehospitalarios de emergencia para salvaguardar la vida de pacientes y durante el viaje a centros hospitalarios para la atención médica. Coordinan, planean y direccionan el servicio de ambulancias, atención prehospitalaria y al paciente de urgencias, realizan vigilancia epidemiológica, del sistema de emergencias médicas. Se pueden desempeñar en clínicas, hospitales, servicios privados de ambulancia, centros médicos, Cruz Roja, entidades de socorro, instituciones prestadoras de servicios de salud y entidades territoriales, entre otros."
22402,"Desarrollan e implementan actividades de planeación y coordinación de procesos y procedimientos quirúrgicos, por medio del manejo de las tecnologías, equipos y dispositivos médicos.  Asumen la gestión y la asesoría de unidades quirúrgicas y de reprocesamiento de dispositivos médicos en colaboración con el equipo de salud, en función de la esterilización, bioseguridad, control de infecciones, gestión del riesgo, tecnovigilancia, seguridad y calidad en la atención a individuos, comunidades y cuidado del medio ambiente.  Se pueden desempeñar en los diferentes niveles de atención en salud, instituciones prestadoras de servicios de salud humana y veterinaria, además en consultorios especializados, unidades de reprocesamiento, empresas relacionadas con la industria y comercio de dispositivos médico-quirúrgicos, banco de órganos y tejidos, centros de investigación o pueden trabajar de forma independiente, entre otros."
22500,"Previenen, diagnostican y tratan enfermedades, trastornos, lesiones y disfunciones de los animales. Pueden proporcionar atención a una amplia variedad de animales o se especializan en el tratamiento de un grupo de animales en particular o en un área particular de especialidad; asesoran a clientes sobre su alimentación, higiene, hábitat y cuidado general. Se pueden desempeñar en clínicas veterinarias, universidades, empresas de productos biológicos y farmacéuticos, empresas del sector público y privado, entre otros."
22611,"Examinan, diagnostican y tratan enfermedades, lesiones y malformaciones de dientes y encías; puede tratar enfermedades de los nervios, la pulpa y otros tejidos dentales que afectan la higiene bucal y la retención de los dientes; puede colocar aparatos dentales o brindar atención preventiva. Se pueden desempeñar en hospitales, clínicas, universidades, servicios públicos de salud, consultorios privados, entre otros."
22612,"Previenen, diagnostican y tratan anomalías, fracturas y enfermedades que afectan a los dientes, la boca, los maxilares y los tejidos adyacentes, practican complejas intervenciones de cirugía plástica reconstructiva craneofacial, las estructuras cervicales relacionadas, procedimientos del sistema estomatognático. colocación de implantes dentales; entre otros procedimientos relacionados. Estudian e investigan la naturaleza, la causa y el desarrollo de enfermedades; se pueden desempeñar en hospitales, clínicas, servicios públicos de salud, consultorios privados, entre otros."
22620,"Investigan, desarrollan, preparan y evalúan formulaciones, participan en la asesoría, control y aseguramiento de calidad de productos farmacéuticos, cosméticos y en los diferentes espacios de la cadena de abastecimiento de medicamentos y otros productos para la salud, así como en asuntos regulatorios, validación de procesos y estudios de estabilidad. Evalúan e intervienen en los procesos de dispensación, almacenamiento, preservación, composición y utilización correcta, efectividad y seguridad de los tratamientos médicos, ensayan, idean y perfeccionan materiales, disposición de residuos para el medio ambiente y desarrollar nuevos conocimientos. Se pueden desempeñar en laboratorios e industria farmacéutica y cosmética, farmacias, hospitales, clínicas, organizaciones reguladoras, entre otros."
22630,"Diseñan, investigan, evalúan e implementan sistemas de gestión para reconocer, vigilar, controlar los factores ambientales y de riesgo laboral, que pueden afectar la salud y la seguridad humana; planifican y garantizan condiciones de trabajo seguras y saludables con el propósito de prevenir accidentes y enfermedades causadas por agentes químicos, físicos, biológicos y lesiones por factores mecánicos, ergonómicos, públicos y demás riesgos presentes en el área de trabajo. Se pueden desempeñar en empresas, organizaciones públicas y privadas, administradoras de riesgos laborales, entre otros."
22640,"Evalúan, planifican y ejecutan programas de tratamiento y rehabilitación diseñados individualmente que mejoran o restauran las funciones motoras humanas, potencializan la capacidad del movimiento, así como a la prevención y recuperación de sus alteraciones, alivian síndromes de dolor, diagnostican, tratan y previenen los problemas físicos asociados con lesiones óseas, musculares, enfermedades y otros deterioros. Realizan actividades y planes de habilitación y rehabilitación integral de las personas, que contienen una amplia gama de terapias físicas y técnicas, tales como el movimiento, ultrasonido, calor, láser y otras técnicas con el fin de optimizar su calidad de vida y contribuir al desarrollo social. Se pueden desempeñar en hospitales, clínicas, centros de rehabilitación, entre otros."
22650,"Investigan, gestionan, planean y evalúan programas, dietas, cuidado nutricional y salud alimentaria, prevención y tratamiento de enfermedades asociadas de individuos y comunidades; se encargan de la valoración y gestión de los servicios de alimentos. Se pueden desempeñar en comunidades, hospitales y centros de atención en salud, instituciones gubernamentales, industriales y de educación, entre otros."
22660,"Diagnostican, intervienen, evalúan y asesoran sobre los procesos, desórdenes, trastornos o alteraciones de la comunicación relacionada con la audición humana, el lenguaje, la cognición, el habla y la deglución, la función oral faríngea, las variaciones y las diferencias comunicativas. Promueven la salud y el bienestar comunicativo del individuo, de los grupos humanos y de las poblaciones, previniendo alteraciones o problemas en el estado de salud y detectando factores de riesgo asociado. Determinan la naturaleza del trastorno, enfermedad o problema y diagnostican el estado de salud de los pacientes y su entorno para desarrollar e implementar planes de tratamiento y evaluación y documentación de estos. Asimismo, prescriben, adaptan y hacen seguimiento a dispositivos correctivos o terapias de rehabilitación para la pérdida de audición, trastornos del habla y problemas sensoriales y neurales relacionados y administran, asisten y asesoran en las áreas de desempeño profesional, lenguaje, habla y audición. Se pueden desempeñar en hospitales, instituciones de rehabilitación y educativas, entre otros."
22670,"Examinan y brindan atención primaria del sistema visual y ocular, proporcionando el cuidado completo a los ojos y la visión, incluyendo la refracción y la dispensación, la prevención, la detección, el diagnóstico, el manejo, el tratamiento y la corrección de los trastornos y las enfermedades  de los ojos y la rehabilitación de las condiciones del sistema visual, formulando lentes oftálmicos y de contacto, recomendando tratamientos como ejercicios correctivos para los problemas de visión o trastornos oculares. Asesoran sobre el cuidado de los ojos y prescriben ayudas ópticas u otras terapias. Así como el reconocimiento y diagnóstico de las manifestaciones sistémicas que tienen relación con el ojo y que permiten preservar y mejorar la calidad de vida del individuo y la comunidad. Se pueden desempeñar en hospitales, clínicas, centros médicos, consultorios particulares, universidades, entre otros."
22691,"Promueven, previenen, evalúan, gestionan e intervienen de manera integral, condiciones y determinantes biopsicosociales que podrían afectar actividades de autocuidado, estudio, trabajo, juego, arte, deporte, oficios y descanso, comunicación, movilidad, funcionalidad e interacciones del desempeño ocupacional individual o colectivo, y contextos ocupacionales de la vida diaria. Sus acciones tienen en cuenta características físicas, sensoriales, mentales, cognitivas, emocionales, sociales y espirituales. Determinan, diseñan, elaboran, adaptan y orientan tecnologías de asistencia, ajustes y apoyos razonables para la autonomía e independencia funcional en el desempeño de ocupaciones según el curso de vida. Se pueden desempeñar en instituciones de salud, de rehabilitación, educativas o de servicio social o comunitario, entre otros."
22692,"Diagnostican, intervienen e implementan actividades de promoción, prevención, valoración, ayudas clínicas, pruebas de diagnóstico cardiovascular y de función cardiopulmonar, realizan, tratamiento y rehabilitación de desórdenes y alteraciones cardiorrespiratorias. Promueven, asesoran sobre el fortalecimiento de la salud cardiorrespiratoria de la comunidad de acuerdo con políticas en atención en salud. Asimismo, prescriben, adaptan y hacen seguimiento a dispositivos correctivos o terapias de rehabilitación y cuidado cardiorrespiratorio clínico. Se pueden desempeñar en hospitales, clínicas, entidades prestadoras de servicios de salud, instituciones de rehabilitación y educativas, entre otros."
22693,"Diagnostican, administran tratamientos y terapias a pacientes que presentan trastornos o afecciones de comportamiento. Utilizan técnicas e intervenciones como arte, música, animales, movimiento y danza para promover, mantener, restaurar el desarrollo y la salud del paciente. Se pueden desempeñar en hospitales, clínicas y centros de servicios de salud, entre otros."
22699,"Esta ocupación abarca a profesionales de la salud no clasificados en otras ocupaciones del Grupo Primario 2269: Otros profesionales de la salud no clasificados en otros grupos primarios. Por ejemplo, incluye aquellos que diagnostican, administran tratamientos y terapias a pacientes con enfermedades o lesiones músculo esqueléticas, de la columna y otras articulaciones del cuerpo. Prescriben tratamientos y diagnostican condiciones que afectan las estructuras del pie, tobillo y afines de la pierna. Realizan procedimientos quirúrgicos menores, como por ejemplo en pies y tobillos, entre otros. Auditan la prestación de servicios de salud. Se pueden desempeñar en hospitales, clínicas y centros de servicios de salud, entre otros."
23100,"Facilitan el aprendizaje a través de la orientación de la educación en clases y tutorías en los diferentes ambientes de formación y extensión; diseñan, desarrollan y evalúan programas académicos para pregrado o postgrado; planean actividades de formación; definen mecanismos de evaluación y seguimiento; adelantan procesos de investigación para ampliar, mejorar o generar nuevos contenidos y metodologías para la resolución de problemas; elaboran trabajos, artículos, publicaciones y libros de carácter académico o científico. Se pueden desempeñar en programas académicos de pregrado y postgrado en universidades o en instituciones de educación superior, entre otros."
23200,"Enseñan e imparten formación técnica, vocacional y ocupacional a adultos y estudiantes de últimos años de escuelas secundarias y de formación en áreas u ocupaciones específicas para las cuales normalmente no se requiere educación universitaria o superior; capacitan y actualizan a trabajadores en empresas y organizaciones para el desempeño de funciones laborales. Se pueden desempeñar en universidades e instituciones de educación superior, escuelas de formación para adultos y de formación vocacional, institutos técnicos y escuelas secundarias, empresas y organizaciones, instituciones de formación para el trabajo, entre otros."
23300,"Imparten una o varias asignaturas en el nivel secundario, con excepción de los temas que tienen por objeto preparar a los alumnos para ejercer un empleo en áreas de ocupación específicas. Contribuyen en el diseño de estructuras curriculares de programas educativos y de formación, su ejecución y evaluación. En ocasiones estos profesores de colegios de secundaria desarrollan funciones como coordinadores de grupos a su cargo o del área que representa su formación e integra a la comunidad educativa en proyectos de investigación social. Se pueden desempeñar en establecimientos de educación media, pública o privada, entre otros."
23410,"Imparten procesos de formación sobre diversos temas en el nivel primario de educación, que comprende los cinco primeros años de la educación básica; preparan y orientan asignaturas básicas en áreas del conocimiento relacionadas con las competencias de: lecto- escritura, lógica matemática, ciencias naturales y sociales, otras lenguas, educación física y deportiva, educación artística y musical, entre otras. Se pueden desempeñar en instituciones educativas públicas o privados de educación básica primaria, para niños, jóvenes o adultos, entre otros."
23420,"Planean, organizan ambientes enriquecidos y guían el desarrollo integral de la infancia y primera infancia; fomentan y estimulan el desarrollo de las dimensiones sociales, intelectuales, físicas, psicomotoras y emocionales por medio de actividades educativas, lúdicas y experiencias grupales de socialización e integración. Se pueden desempeñar en establecimientos públicos y privados de jardines infantiles, colegios, entre otros."
23510,"Investigan, desarrollan y asesoran en métodos, medios y procedimientos educativos impresos y/o digitales, cursos y materiales didácticos, implementando el uso de las tecnologías de la información y la comunicación. Asimismo, estudian y analizan el trabajo de los docentes, el funcionamiento de las instituciones educativas y los resultados alcanzados y formulan recomendaciones sobre cambios y mejoras. Se pueden desempeñar en establecimientos educativos, entidades del gobierno, casas editoriales, entre otros."
23521,"Planean, programan, imparten, evalúan y orientan procesos de educación, desarrollo de competencias, formación y educación a niños, adolescentes o adultos en situación de discapacidad física o mental, o a personas que tienen dificultades de aprendizaje o necesidades especiales mediante técnicas especializadas. Asimismo, promueven el desarrollo social, emocional, intelectual y físico de sus alumnos. Se pueden desempeñar en centros de rehabilitación e instituciones de educación preescolar, básica y media, instituciones de formación para el trabajo e instituciones de educación superior, entre otros."
23522,"Planean, organizan y dinamizan procesos formativos para resignificar estilos de vida en los ámbitos familiar, social, educativo y empresarial; a través de estrategias pedagógico- terapéuticas-reeducativas que se desarrollan mediante procedimientos de atención e intervención a personas y/o familias en condiciones de vulnerabilidad, disfunción social y/o conflicto con la ley. Desarrollan actividades complejas en contextos cambiantes, con alto grado de autonomía y responsabilidad, utilizando diferentes métodos y estrategias pedagógicas y didácticas. Se pueden desempeñar en centros educativos, de recuperación y rehabilitación, centros penitenciarios y entidades de promoción social, entre otros."
23530,"Enseñan lenguas no maternas a los adultos y niños que están aprendiendo un idioma extranjero por razones de migración, para cumplir con los requisitos de empleo u oportunidades, para facilitar la participación en programas educativos ofrecidos en un idioma extranjero, intercambio cultural o para enriquecimiento personal. Trabajan fuera de la corriente principal de los sistemas de enseñanza primaria, secundaria y superior, o en apoyo de los estudiantes y profesores dentro de esos sistemas. Se pueden desempeñar en escuelas de formación profesional y vocacional, institutos e instituciones, empresas y organizaciones para el desempeño de funciones laborales, entre otros."
23540,"Diseñan, implementan, imparten y evalúan procesos de formación y enseñanza sobre la práctica, teoría e interpretación de música en entornos ajenos al sistema general de educación primaria, secundaria y superior, aun cuando también pueden dar clases particulares individuales o en pequeños grupos como actividades extraescolares organizadas por centros educativos del sistema general. Se pueden desempeñar en organizaciones de recreación y esparcimiento, academias de música, comunidades, entre otros. en entornos comunitarios o en escuelas, academias o centros de musicales de carácter público o privado, entre otros."
23550,"Imparten enseñanza, orientan programas y sesiones formativas para el desarrollo de habilidades, destrezas y conocimientos en técnicas relacionadas con la práctica, la teoría y la interpretación de danza, arte dramático, artes visuales y otras disciplinas artísticas (con excepción de la música) en entornos ajenos al sistema general de educación primaria, secundaria y superior, aun cuando también pueden dar clases particulares individuales o en pequeños grupos como actividades extraescolares. Se pueden desempeñar en academias, centros educativos, centros de recreación y bienestar, comunidades, entre otros."
23560,"Desarrollan, planifican, dirigen y orientan programas y cursos de formación para usuarios de informática u otras tecnologías de la información, al margen del sistema general de educación primaria, secundaria y superior. Se pueden desempeñar en escuelas de formación profesional y vocacional, institutos e instituciones de educación y formación, empresas y organizaciones para el desempeño de funciones laborales, entre otros."
23591,"Asesoran a estudiantes sobre asuntos educativos, orientación vocacional y desarrollo personal; coordinan la provisión de servicios de consejería a estudiantes, padres y profesores. Se pueden desempeñar en instituciones públicas y privadas de educación superior, de formación para el trabajo, educación secundaria y básica primaria, entre otros."
23599,"Esta ocupación abarca a otros profesionales de la educación no clasificados en otras ocupaciones del Grupo Primario 2359: Otros profesionales de la educación no clasificados en otros grupos primarios. Por ejemplo, incluye aquellos que imparten clases particulares en materias distintas de las lenguas extranjeras, artes, música, agrícola y oficios. Se pueden desempeñar en escuelas de formación profesional, vocacional y de capacitación, correccionales, empresas, entre otros."
24111,"Planifican, organizan y administran sistemas contables y financieros para personas y organizaciones de acuerdo con la normativa nacional e internacional; evalúan, controlan y cumplen con las obligaciones fiscales, establecen los procedimientos para la gestión de la información, contable, financiera y tributaria, garantizan y proporcionan información veraz, oportuna y de acuerdo con normatividad; asesoran en materia contable. Se pueden desempeñar en organizaciones con departamentos contables y financieros, empresas especializadas en servicios contables y de auditoría, el sector público y privado, servicio a personas naturales y jurídicas, entre otros."
24112,"Examinan y analizan la información contable y financiera de personas naturales y organizaciones; evalúan, supervisan y realizan seguimiento de los riesgos del sistema de control interno e identifican las oportunidades de mejora y alternativas para optimizar alternativas que garantizar exactitud y cumplimiento de los procedimientos y normativas vigentes para la elaboración, implementación y presentación de informes; prestan servicios de auditoría, acompañamiento, revisoría o verificación de cuentas. Se pueden desempeñar en organizaciones con departamentos contables y financieros, empresas especializadas en servicios contables y de auditoría, en el sector público y privado, servicio a personas naturales y jurídicas, entre otros."
24120,"Desarrollan planes financieros para personas y organizaciones recopilando y analizando información de estados financieros, rendimientos, obligaciones financieras, inversiones, comportamiento del mercado de valores; hacen inversiones de títulos, acciones, obligaciones y otros valores financieros y administran fondos por cuenta propia. Se pueden desempeñar en empresas u organizaciones del sector público y privado, entre otros."
24130,"Realizan el análisis cuantitativo de estados, rendimientos, obligaciones, inversiones financieras y sobre el comportamiento del mercado de valores y demás información que incida en los programas de inversión de las instituciones públicas o privadas de acuerdo con la normativa nacional e internacional. Se pueden desempeñar en organizaciones y departamentos contables y financieros, empresas especializadas de auditoría y análisis de mercados de valores, instituciones públicas y privadas, entre otros."
24210,"Orientan y acompañan a las organizaciones a lograr una mayor eficiencia, productividad, calidad, competitividad, a identificar sus necesidades y resolver problemas organizacionales, para lo cual diagnostican, planean, sensibilizan, implementan cambios y coordinan su ejecución, por medio del análisis y estudio de las estructuras, métodos, sistemas, operaciones y procedimientos de la organización, considerando también el diseño, optimización, mejoramiento, innovación y la gestión de los procesos empresariales, de acuerdo con la planeación estratégica. Se pueden desempeñar en firmas de consultoría administrativa, en empresas de producción y fabricación, en organizaciones del sector público o privado, entre otros."
24220,"Dirigen investigaciones, generan informes, formulan y analizan políticas que orientan el diseño, la implementación y la modificación de operaciones y programas, tanto de entidades gubernamentales como de empresas en áreas de empleo, vivienda, salud, educación y demás áreas sociales, así como la relación intergubernamental y asuntos territoriales. Se pueden desempeñar en entidades del gobierno, empresas de consultoría, asociaciones profesionales, instituciones de educación, organizaciones no gubernamentales, entre otros."
24231,"Administran, diseñan, implementan y evalúan políticas, programas, proyectos y procedimientos de talento humano; asesoran a gerentes, líderes de procesos y empleados en temas de talento humano. Se pueden desempeñar en empresas particulares, entidades del gobierno, organizaciones de consultoría organizacional, entre otros."
24232,"Suministran asistencia, consejería e información a solicitantes de empleo sobre aspectos relacionados con su búsqueda y orientación profesional, asesoran e informan a empleadores sobre oferta laboral y mercado de trabajo. Se pueden desempeñar en organizaciones de consultoría, entidades del gobierno, agencias de servicio de empleo público y privadas, entre otros."
24241,"Planifican, desarrollan, implementan y evalúan programas de capacitación y desarrollo a fin de asegurar que la dirección y el personal adquieran las destrezas y perfeccionen las competencias que las organizaciones requieren para cumplir con los objetivos organizacionales. Se pueden desempeñar en organizaciones de consultoría, entidades del gobierno, empresas privadas, entre otros."
24242,"Planifican, desarrollan, implementan y evalúan programas de evaluación de destrezas y competencias laborales. Emiten juicio sobre las capacidades de las personas para el desempeño laboral en ocupaciones específicas, con referencia a competencias estandarizadas, establecidas por el Estado, organizaciones empresariales sectoriales o empresas. Desarrollan procesos, procedimientos e instrumentos de recopilación de evidencias de los desempeños con base en su conocimiento y experiencia en los procesos y resultados propios de la ocupación o campo ocupacional en que se evalúan y de los principios y métodos de evaluación. Se pueden desempeñar en organizaciones de consultoría, organismos certificadores de competencias, empresas privadas, entidades públicas, entre otros."
24311,"Detectan, planifican y desarrollan oportunidades en mercados tradicionales y digitales para bienes y servicios nuevos y existentes mediante la investigación del consumidor y la proyección de tendencias del entorno; crean, diseñan, elaboran, editan y coordinan programas estratégicos de mercadeo, campañas, mensajes publicitarios y posicionamiento de marca a través de diferentes canales; determinan, gestionan, ejecutan y evalúan las acciones estratégicas y tácticas asociadas a las actividades de mercadeo y publicidad; establecen y mantienen relaciones corporativas con sus clientes, actuando bajo criterios de responsabilidad social corporativa, sostenibilidad y sustentabilidad. Se pueden desempeñar en empresas y organizaciones oficiales o privadas, agencias de publicidad, mercadeo y relaciones públicas, entre otros."
24312,"Construyen, gestionan y administran comunidades virtuales creando y manteniendo relaciones estables y duraderas con sus clientes, admiradores y en general cualquier usuario interesado, a través de redes sociales, páginas web y plataformas virtuales, para hacer seguimiento a las tendencias de los usuarios frente a marcas, compañías, eslogan y personajes, dotando a los medios sociales de un enfoque empresarial y estratégico; investigan, diseñan, elaboran y coordinan estrategias y campañas publicitarias basados en análisis de datos de los usuarios. Se pueden desempeñar en los departamentos de comunicaciones, publicidad o relaciones públicas de las empresas, canales de atención de las organizaciones, agencias de publicidad y mercadeo, centrales de medios, entre otros."
24313,"Analizan e identifican oportunidades comerciales en mercados internacionales e intermedian en procesos de negociación comercial con clientes o socios extranjeros. Se pueden desempeñar en agencias del gobierno, empresas multinacionales o firmas especializadas en negocios internacionales, entre otros."
24320,"Planifican, desarrollan y evalúan estrategias de información y comunicación que gestionan una comprensión y reputación favorable de las organizaciones, sus productos y servicios, y la relación con los grupos de interés. Se pueden desempeñar en entidades públicas y organizaciones privadas como firmas de consultoría, agencias, corporaciones, asociaciones, instituciones sociales, educativas, medios de comunicación, entre otros."
24330,"Representan a empresas y venden diversos bienes y servicios técnicos industriales, médicos, farmacéuticos, servicios de computación y telecomunicaciones, a establecimientos industriales, comerciales, profesionales y de otra índole. Se pueden desempeñar en establecimientos que producen o proveen bienes y servicios técnicos, laboratorios farmacéuticos, fábricas de equipo industrial, firmas de servicios de cómputo, firmas de ingeniería, entre otros."
24340,"Venden y asesoran sobre equipos, programas, bienes y servicios de tecnología de la información y las comunicaciones, soluciones informáticas, sistemas operativos, software e instalaciones, y suministran información especializada según sea necesario. Se pueden desempeñar en organizaciones de tecnologías de la información y las comunicaciones, establecimientos que producen o proveen bienes y servicios técnicos y tecnológicos, firmas consultoras, entre otros."
25110,"Investigan, analizan y evalúan las necesidades, procedimientos o problemas de los clientes en materia de tecnología de información y las comunicaciones desarrollando procesos de análisis de requisitos, configuración funcional requerido para la implementación de acuerdo con recomendaciones y planes para mejorar los sistemas de información actuales o futuros con control de calidad. Apoyan las diferentes actividades de entrenamiento y soporte, dando cumplimiento al plan establecido con el fin de garantizar aplicativos ajustados a los requerimientos del cliente. Analizan requisitos y necesidades de procesamiento o sistematización de información, validan aplicaciones de proyectos informáticos siguiendo planes de prueba garantizando la seguridad de los datos. Modelan y gestionan la representación de los datos utilizados dentro de una organización. Se pueden desempeñar en organizaciones de tecnologías de la información y las comunicaciones, firmas consultoras y departamentos de tecnología en empresas del sector público y privado, entre otros."
25120,"Investigan, establecen, analizan y evalúan los requisitos de las aplicaciones de programas informáticos y sistemas operativos existentes o nuevos y diseñan, desarrollan, prueban, mantienen e implementan soluciones de software y aplicaciones de tecnologías de la información y las comunicaciones optimizando recursos y tiempo de acuerdo con los requerimientos. Se pueden desempeñar en organizaciones de tecnologías de la información y las comunicaciones, firmas consultoras y departamentos de tecnología en empresas del sector público y privado, entre otros."
25130,"Llevan a cabo investigaciones, analizan, evalúan, diseñan, programan y modifican sitios web, multimedia, videojuegos y aplicaciones que reúnen textos, gráficos, presentaciones animadas, imágenes, secuencias sonoras, presentaciones de vídeo y otros medios interactivos. Se pueden desempeñar en organizaciones de tecnologías de la información y las comunicaciones, firmas consultoras y departamentos de tecnología en empresas del sector público y privado, entre otros."
25140,"Escriben, mantienen, desarrollan e implementan códigos de programación expresados en instrucciones técnicas y especificaciones para las aplicaciones de software y los sistemas operativos; analizan los requisitos, revisan, amplían y prueban programas y aplicaciones. Se pueden desempeñar en organizaciones de tecnologías de la información y las comunicaciones, las firmas consultoras y los departamentos de tecnología en empresas del sector público y privado, entre otros."
25190,"Esta ocupación abarca a los desarrolladores y analistas de software y multimedia no clasificados en otras ocupaciones del Subgrupo 251: Desarrolladores y analistas de software y multimedia. Por ejemplo, incluye aquellos que investigan, planifican, diseñan, evalúan, integran e implementan soluciones informáticas, sistemas operativos, almacenes de datos y software, siguiendo planes de prueba garantizando la calidad y seguridad de los datos de tecnologías de la información y las comunicaciones. Se pueden desempeñar en organizaciones de tecnologías de la información y las comunicaciones, firmas consultoras y departamentos de tecnología en empresas del sector público y privado, entre otros."
25210,"Diseñan, desarrollan, administran, controlan, mantienen y apoyan el óptimo rendimiento, operación de servicios y seguridad de las bases de datos. Se pueden desempeñar en organizaciones de tecnologías de la información y las comunicaciones, firmas consultoras y departamentos de tecnología en empresas del sector público y privado, entre otros."
25220,"Desarrollan, administran, controlan, mantienen y apoyan el rendimiento óptimo de servicios y seguridad de los sistemas de tecnología de la información. Se pueden desempeñar en organizaciones de tecnologías de la información y las comunicaciones, las firmas consultoras y los departamentos de tecnología en empresas del sector público y privado, entre otros."
25230,"Investigan, analizan, diseñan, prueban y recomiendan estrategias para la arquitectura y el desarrollo de redes. Asimismo, implementan, gestionan, mantienen y configuran equipos y software de redes; controlan, solucionan problemas y optimizan su rendimiento. Se pueden desempeñar en organizaciones de tecnologías de la información y las comunicaciones, firmas consultoras y departamentos de tecnología en empresas del sector público y privado, entre otros."
25290,"Esta ocupación abarca a los profesionales en bases de datos y en redes de computadores no clasificados en otras ocupaciones del Subgrupo 252: Profesionales en bases de datos y en redes de computadores. Por ejemplo, incluye aquellos que investigan, planifican, diseñan, evalúan, integran e implementan soluciones informáticas de análisis, manejo, representación y seguridad de datos, redes y sistemas operativos, software de tecnologías de la información y las comunicaciones; se asocian las actividades de consultoría y auditoría propias de las especialidades tecnológicas descritas. Se pueden desempeñar en organizaciones de tecnologías de la información y las comunicaciones, firmas consultoras y departamentos de tecnología en empresas del sector público y privado, entre otros."
26110,"Brindan asesoría y asistencia jurídica y legal a las personas naturales y jurídicas en todas las ramas del derecho público y privado, redactan documentos jurídicos, representan a sus clientes, abogan casos o llevan a cabo acciones ante organismos de justicia y actuaciones ante autoridades administrativas en el contexto nacional e internacional; realizan la función registral y demás acciones asociadas; realizan investigaciones sociojurídicas para el Estado, organismos internacionales y entidades privadas. Se pueden desempeñar en notarías, gobierno, juzgados, fiscalías, buffet de abogados, establecimientos comerciales, financieros, industriales, instituciones, entre otros del sector público y privado."
26120,"Presiden los procedimientos civiles y penales en los tribunales de justicia, conocen y juzgan casos y delitos, dan instrucciones a los jurados en los juicios, administran justicia, interpretan la ley, aclaran cuestiones de derecho y pronuncian sentencias o dictámenes. Se pueden desempeñar en cortes, tribunales de justicia, juzgados, entre otros."
26191,"Analizan elementos materiales probatorios aplicando conocimientos, métodos y técnicas de investigación técnico-científica forense con el fin de aportar informes técnicos en los procesos de administración de justicia. Se pueden desempeñar en empresas públicas y privadas de investigación técnico-científica forense, entre otros."
26199,"Esta ocupación abarca a profesionales en derecho no clasificados en otras ocupaciones del Grupo Primario 2619: Profesionales en derecho no clasificados en otros grupos primarios. Por ejemplo, incluye aquellos que atienden denuncias y quejas relacionadas con conflictos familiares, violencia familiar, delitos y/ o contravenciones en que esté implicado un menor o afectada una familia, desarrollan comisiones, allanamientos y demás contempladas en el Código del Menor y colaboran con el Instituto Colombiano de Bienestar Familiar y con las demás autoridades competentes en la función de proteger a los menores, personas, grupos y familias que se hallen en situación de vulnerabilidad en los casos de conflicto familiar, desarrollo económico y bienestar social, y remiten a otros servicios sociales de apoyo. Redactan documentos legales como demandas o testamentos y autentican documentos. Se pueden desempeñar en entidades territoriales, entidades gubernamentales nacionales, comisarías, notarías, entre otros."
26211,"Investigan, recopilan, evalúan, catalogan y garantizan la custodia, la preservación de archivos,  información y registros que tienen un interés histórico, cultural, administrativo y artístico. Coordinan personal, estructuran proyectos y direccionan planes de gestión, administración e implementación de sistemas de gestión documental para el manejo y la custodia de registros y documentos de gran valor. Se pueden desempeñar en departamentos de archivos, entidades del gobierno y el sector privado, entre otros."
26212,"Determinan e investigan sobre líneas temáticas y contenidos de exposiciones, piezas, muestras culturales u objetos con valor patrimonial; desarrollan guiones curatoriales y museológicos para exposiciones, identifican y gestionan préstamos, adquisiciones y licencias de uso de estas; supervisan el diseño y el montaje de exposiciones y coordinan actividades de divulgación. Se pueden desempeñar en entidades museales, galerías de arte,  instituciones gubernamentales, empresas privadas, entre otros."
26213,"Investigan, coordinan y preseleccionan artistas, repertorio y agrupaciones, para diferentes medios audiovisuales, digitales y espectáculos en vivo, y evalúan de acuerdo con criterios previamente establecidos proyectos musicales para que se implementen en determinada actividad. Se pueden desempeñar en empresas de organización de eventos y festivales, por empresarios musicales, artistas y agrupaciones, entre otros."
